B5 Batch 2 Golden Test Results
==============================

Total dates: 84

2026-04-25 | consolidation | 
2026-04-28 | consolidation | 
2026-05-01 | consolidation | 
2026-05-03 | consolidation | 
2026-05-25 | consolidation | B1:MA5=42363 MA20=41148|B2:F5D=10 F10D=3 ConB=5 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-26 | consolidation | B1:MA5=42795 MA20=41348|B2:F5D=8 F10D=3 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-27 | consolidation | B1:MA5=43193 MA20=41614|B2:F5D=6 F10D=4 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-28 | consolidation | B1:MA5=43466 MA20=41850|B2:F5D=2 F10D=4 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-29 | consolidation | B1:MA5=43959 MA20=42048|B2:F5D=2 F10D=5 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-30 | consolidation | B1:MA5=44177 MA20=42228|B2:F5D=1 F10D=6 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-31 | consolidation | B1:MA5=44418 MA20=42384|B2:F5D=3 F10D=6 ConB=3 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-01 | consolidation | B1:MA5=44635 MA20=42561|B2:F5D=4 F10D=5 ConB=4 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-02 | consolidation | B1:MA5=45019 MA20=42744|B2:F5D=7 F10D=4 ConB=5 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-03 | consolidation | B1:MA5=45364 MA20=42999|B2:F5D=6 F10D=4 ConB=6 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-04 | consolidation | B1:MA5=45553 MA20=43195|B2:F5D=3 F10D=2 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-05 | consolidation | B1:MA5=45621 MA20=43390|B2:F5D=1 F10D=2 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-06 | consolidation | B1:MA5=45567 MA20=43585|B2:F5D=-2 F10D=1 ConB=0 ConS=3 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-07 | consolidation | B1:MA5=45470 MA20=43794|B2:F5D=-4 F10D=1 ConB=0 ConS=4 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-08 | consolidation | B1:MA5=44879 MA20=43960|B2:F5D=-6 F10D=-0 ConB=0 ConS=5 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-09 | consolidation | B1:MA5=44684 MA20=44194|B2:F5D=-6 F10D=-1 ConB=0 ConS=6 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-10 | consolidation | B1:MA5=44315 MA20=44287|B2:F5D=-6 F10D=-3 ConB=0 ConS=7 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-11 | consolidation | B1:MA5=43931 MA20=44331|B2:F5D=-5 F10D=-4 ConB=0 ConS=8 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-12 | consolidation | B1:MA5=43750 MA20=44426|B2:F5D=-2 F10D=-3 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-13 | consolidation | B1:MA5=43884 MA20=44521|B2:F5D=1 F10D=-3 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-14 | consolidation | B1:MA5=43776 MA20=44548|B2:F5D=5 F10D=-1 ConB=3 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-15 | consolidation | B1:MA5=44211 MA20=44641|B2:F5D=7 F10D=1 ConB=4 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-16 | consolidation | B1:MA5=44743 MA20=44719|B2:F5D=9 F10D=2 ConB=5 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-17 | consolidation | B1:MA5=45084 MA20=44831|B2:F5D=7 F10D=3 ConB=6 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-18 | consolidation | B1:MA5=45544 MA20=44917|B2:F5D=7 F10D=4 ConB=7 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-19 | consolidation | B1:MA5=46003 MA20=45004|B2:F5D=7 F10D=6 ConB=8 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-20 | consolidation | B1:MA5=46216 MA20=45091|B2:F5D=8 F10D=7 ConB=9 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-21 | consolidation | B1:MA5=46348 MA20=45147|B2:F5D=9 F10D=9 ConB=10 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-22 | consolidation | B1:MA5=46720 MA20=45256|B2:F5D=9 F10D=8 ConB=10 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-23 | consolidation | B1:MA5=46848 MA20=45288|B2:F5D=6 F10D=6 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-26 | black_swan | B1:MA5=46469 MA20=45233|B2:F5D=1 F10D=4 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-27 | consolidation | B1:MA5=46090 MA20=45208|B2:F5D=-5 F10D=2 ConB=0 ConS=3 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-28 | consolidation | B1:MA5=45711 MA20=45183|B2:F5D=-10 F10D=-0 ConB=0 ConS=4 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-29 | consolidation | B1:MA5=45163 MA20=45180|B2:F5D=-10 F10D=-1 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-06-30 | consolidation | B1:MA5=44968 MA20=45311|B2:F5D=-8 F10D=-1 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-01 | consolidation | B1:MA5=45458 MA20=45426|B2:F5D=-5 F10D=-2 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-02 | consolidation | B1:MA5=45892 MA20=45602|B2:F5D=-3 F10D=-4 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-03 | consolidation | B1:MA5=46334 MA20=45784|B2:F5D=0 F10D=-5 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-04 | consolidation | B1:MA5=46690 MA20=45915|B2:F5D=0 F10D=-5 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-05 | turnaround_up | B1:MA5=46821 MA20=46045|B2:F5D=-0 F10D=-4 ConB=3 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-06 | turnaround_up | B1:MA5=46728 MA20=46164|B2:F5D=1 F10D=-2 ConB=4 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-07 | consolidation | B1:MA5=46475 MA20=46169|B2:F5D=-0 F10D=-2 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-08 | consolidation | B1:MA5=46266 MA20=46165|B2:F5D=-1 F10D=-1 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-09 | consolidation | B1:MA5=45981 MA20=46139|B2:F5D=-1 F10D=-1 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-10 | consolidation | B1:MA5=45696 MA20=46083|B2:F5D=-1 F10D=-1 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-11 | turnaround_up | B1:MA5=45455 MA20=46028|B2:F5D=-2 F10D=-0 ConB=3 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-12 | turnaround_up | B1:MA5=45431 MA20=45972|B2:F5D=0 F10D=0 ConB=4 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-13 | consolidation | B1:MA5=45360 MA20=45918|B2:F5D=0 F10D=-0 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-14 | consolidation | B1:MA5=45236 MA20=45768|B2:F5D=-1 F10D=-1 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-15 | consolidation | B1:MA5=45292 MA20=45694|B2:F5D=-0 F10D=-1 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-16 | consolidation | B1:MA5=45346 MA20=45747|B2:F5D=-0 F10D=-1 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-17 | black_swan | B1:MA5=44809 MA20=45652|B2:F5D=-3 F10D=-1 ConB=0 ConS=1 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-18 | black_swan | B1:MA5=44267 MA20=45557|B2:F5D=-5 F10D=-2 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-07-19 | black_swan | B1:MA5=43854 MA20=45440|B2:F5D=-6 F10D=-4 ConB=0 ConS=3 FutP=0 FutD=-1 MPk=0 MC5=0.00
2026-07-20 | black_swan | B1:MA5=43218 MA20=45257|B2:F5D=-8 F10D=-4 ConB=0 ConS=4 FutP=-86189 FutD=0 MPk=0 MC5=0.00
2026-07-21 | turnaround_down | B1:MA5=42939 MA20=45117|B2:F5D=-7 F10D=-4 ConB=1 ConS=0 FutP=-78337 FutD=-1 MPk=0 MC5=0.00
2026-07-22 | turnaround_down | B1:MA5=43370 MA20=45021|B2:F5D=-3 F10D=-3 ConB=2 ConS=0 FutP=-78490 FutD=1 MPk=0 MC5=0.00
2026-07-23 | consolidation | B1:MA5=43801 MA20=44924|B2:F5D=-0 F10D=-3 ConB=3 ConS=0 FutP=-76595 FutD=1 MPk=0 MC5=0.00
2026-07-24 | turnaround_down | B1:MA5=43998 MA20=44767|B2:F5D=2 F10D=-2 ConB=0 ConS=1 FutP=-75198 FutD=1 MPk=0 MC5=0.00
2026-07-25 | consolidation | B1:MA5=44239 MA20=44611|B2:F5D=1 F10D=-3 ConB=0 ConS=2 FutP=-76260 FutD=0 MPk=0 MC5=0.00
2026-07-26 | consolidation | B1:MA5=44123 MA20=44466|B2:F5D=0 F10D=-3 ConB=0 ConS=3 FutP=-76260 FutD=-1 MPk=0 MC5=0.00
2026-07-27 | consolidation | B1:MA5=43885 MA20=44374|B2:F5D=-1 F10D=-2 ConB=1 ConS=0 FutP=-76260 FutD=0 MPk=0 MC5=0.00
2026-07-28 | black_swan | B1:MA5=43240 MA20=44167|B2:F5D=-0 F10D=-0 ConB=2 ConS=0 FutP=-76260 FutD=-1 MPk=0 MC5=0.00
2026-07-29 | black_swan | B1:MA5=42517 MA20=43901|B2:F5D=-0 F10D=1 ConB=0 ConS=1 FutP=-78699 FutD=-2 MPk=0 MC5=0.00
